Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2394.313	-2472.88	78.5671	1.019296	0.4141191	0.677963	0.322037	2.600179
6	-2399.396	-2477.92	78.52408	0.9842393	0.2776049	0.710948	0.289052	2.826924
12	-2397.755	-2475.702	77.94791	1.135631	0.4487135	0.546722	0.453278	2.869147
18	-2399.336	-2478.752	79.41557	1.310463	0.438915	0.647063	0.352937	1.832539
24	-2405.592	-2485.056	79.4645	1.388278	0.4493398	0.634514	0.365486	1.731437
30	-2396.685	-2475.445	78.76027	1.316071	0.4232877	0.6509	0.3491	2.281197
36	-2390.423	-2469.165	78.74237	1.098778	0.3426778	0.6087	0.3913	2.530864
42	-2392.037	-2469.871	77.83357	1.098778	0.6412061	0.691569	0.308431	2.777892
48	-2392.703	-2470.518	77.81517	1.034014	0.4934818	0.691569	0.308431	2.963994
54	-2391.463	-2468.168	76.70523	1.012413	0.4380109	0.707496	0.292504	3.687127
60	-2398.674	-2475.235	76.56034	0.9456821	0.3550283	0.577681	0.422319	3.901825
66	-2398.825	-2477.03	78.20522	1.005918	0.4502621	0.555403	0.444597	2.789978
72	-2409.784	-2488.72	78.93636	1.17634	0.4950817	0.855415	0.144585	2.176494
78	-2400.269	-2479.296	79.0276	1.199772	0.574967	0.79825	0.20175	2.018407
84	-2401.854	-2480.849	78.99452	1.199626	0.3376615	0.669774	0.330226	2.315223
90	-2403.776	-2482.065	78.28891	1.045272	0.3463887	0.765537	0.234463	2.837596
96	-2406.126	-2485.526	79.40022	1.516009	0.4652422	0.752941	0.247059	1.666661
102	-2401.654	-2480.482	78.82825	1.292729	0.3948498	0.657235	0.342765	2.287192
108	-2402.797	-2482.438	79.64088	1.333585	0.2916621	0.711837	0.288163	1.870392
114	-2391.74	-2470.636	78.89587	1.245603	0.410219	0.718652	0.281348	2.255136
120	-2399.101	-2478.112	79.01058	1.182776	0.3021699	0.752782	0.247218	2.366194
126	-2398.013	-2477.453	79.44038	1.260358	0.4308334	0.77977	0.22023	1.859974
132	-2409.715	-2489.866	80.15033	1.49287	0.2407016	0.833151	0.166849	1.484695
138	-2403.651	-2481.854	78.20256	1.343913	0.3205175	0.72895	0.27105	2.742564
144	-2399.601	-2477.895	78.29459	1.115262	0.315921	0.709759	0.290241	2.832093
150	-2407.706	-2486.1	78.39382	1.058998	0.5694534	0.655008	0.344992	2.521005
156	-2397.074	-2474.786	77.712	0.9494964	0.3820673	0.588245	0.411755	3.196928
162	-2398.724	-2477.549	78.82463	1.052075	0.3487397	0.702515	0.297485	2.500642
168	-2395.042	-2472.386	77.34405	0.998614	0.4225772	0.683421	0.316579	3.339214
174	-2393.683	-2470.513	76.83018	0.9622471	0.3806371	0.625201	0.374799	3.706888
180	-2400.039	-2476.558	76.51872	0.9533473	0.4381274	0.735726	0.264274	3.828642
186	-2389.55	-2467.682	78.13193	1.217394	0.3281619	0.735726	0.264274	2.852287
192	-2395.258	-2473.204	77.94606	1.082246	0.497016	0.768603	0.231397	2.852287
198	-2396.822	-2474.169	77.34677	1.032059	0.2787437	0.603654	0.396346	3.496572
204	-2405.901	-2482.409	76.50755	0.9243013	0.4908234	0.730305	0.269695	3.798981
210	-2398.049	-2475.603	77.55449	0.9243013	0.4965867	0.736587	0.263413	3.182112
216	-2398.369	-2475.941	77.57251	1.003676	0.5593909	0.608593	0.391407	3.064588
222	-2396.386	-2474.452	78.06614	1.087931	0.4533574	0.60915	0.39085	2.821357
228	-2396.413	-2474.796	78.3829	1.16711	0.3720899	0.700814	0.299186	2.673222
234	-2395.699	-2473.047	77.3488	1.025809	0.4155935	0.670388	0.329612	3.328094
240	-2402.665	-2480.713	78.04794	0.9531094	0.3260516	0.769354	0.230646	3.064658
246	-2400.941	-2479.254	78.31282	1.028504	0.3678247	0.685897	0.314103	2.806163
252	-2404.446	-2481.402	76.95641	1.094927	0.4104777	0.685897	0.314103	3.52301
258	-2409.304	-2486.932	77.6283	0.9942807	0.3271623	0.783926	0.216074	3.28781
264	-2400.524	-2477.789	77.26488	0.9942807	0.406399	0.649046	0.350954	3.406101
270	-2398.744	-2476.455	77.71191	0.9952781	0.3775416	0.641125	0.358875	3.175186
276	-2398.067	-2475.995	77.92861	1.140129	0.2875422	0.803372	0.196628	3.07708
282	-2395.986	-2473.968	77.98208	1.082844	0.3774843	0.709126	0.290874	2.961546
288	-2397.842	-2476.059	78.21768	1.171935	0.4031185	0.693021	0.306979	2.734137
294	-2396.932	-2475.362	78.42991	1.137097	0.3153212	0.730414	0.269586	2.737142
300	-2400.461	-2478.601	78.13999	1.161383	0.4050836	0.645503	0.354497	2.785721
306	-2398.985	-2477.719	78.73425	1.150447	0.3905233	0.645503	0.354497	2.442374
312	-2403.894	-2482.137	78.24249	1.043957	0.514159	0.787671	0.212329	2.677539
318	-2396.139	-2475.157	79.01742	1.282277	0.3225952	0.778684	0.221316	2.268821
324	-2402.413	-2481.86	79.4472	1.282277	0.4077601	0.646554	0.353446	1.869769
330	-2401.323	-2479.659	78.33661	1.090081	0.4416862	0.705991	0.294009	2.667413
336	-2400.652	-2477.526	76.87387	1.058697	0.4396162	0.680318	0.319682	3.560778
342	-2412.784	-2489.528	76.74391	0.5961393	0.3165575	0.653307	0.346693	4.04444
348	-2405.597	-2481.356	75.75902	0.5895498	0.366532	0.78518	0.21482	4.544958
354	-2405.256	-2482.275	77.01893	1.025523	0.4505886	0.779708	0.220292	3.484124
360	-2403.978	-2482.06	78.08147	1.173618	0.5200832	0.745702	0.254298	2.690929
366	-2405.194	-2483.686	78.49281	1.066051	0.3537848	0.669822	0.330178	2.690929
372	-2406.934	-2485.766	78.83152	1.095931	0.5145017	0.556044	0.443956	2.275389
378	-2405.707	-2484.474	78.76659	1.304077	0.5340437	0.556044	0.443956	2.162766
384	-2403.77	-2482.573	78.80283	1.131542	0.3318547	0.710594	0.289406	2.487246
390	-2406.106	-2485.351	79.24473	1.339313	0.3318547	0.647156	0.352844	2.070785
396	-2397.153	-2476.024	78.87089	1.339313	0.5159196	0.632501	0.367499	2.090484
402	-2400.239	-2480.062	79.82277	1.339313	0.3848142	0.613269	0.386731	1.59682
408	-2392.323	-2471.467	79.14318	1.32892	0.4644894	0.613269	0.386731	1.973999
414	-2401.016	-2480.607	79.59101	1.364046	0.4405465	0.714621	0.285379	1.670163
420	-2392.348	-2472.314	79.96671	1.522193	0.5205611	0.745179	0.254821	1.147474
426	-2401.294	-2481.15	79.85571	1.474443	0.4771571	0.709157	0.290843	1.34057
432	-2394.172	-2473.976	79.8035	1.552943	0.4748715	0.768466	0.231534	1.322652
438	-2399.528	-2478.857	79.32915	1.592975	0.826505	0.691434	0.308566	1.277925
444	-2395.374	-2474.86	79.48528	1.662941	0.7305208	0.773419	0.226581	1.184925
450	-2396.327	-2476.282	79.95523	1.583018	0.3795925	0.748823	0.251177	1.317966
456	-2397.61	-2477.265	79.65476	1.448931	0.4282105	0.665308	0.334692	1.579035
462	-2396.216	-2475.483	79.26639	1.38962	0.4597875	0.748754	0.251246	1.855082
468	-2400.425	-2480.2	79.77452	1.507174	0.5155179	0.746227	0.253773	1.328326
474	-2407.228	-2486.698	79.46973	1.430572	0.5549889	0.733482	0.266518	1.572178
480	-2397.774	-2477.183	79.40971	1.326904	0.6270681	0.606393	0.393607	1.614216
486	-2396.072	-2474.877	78.8049	1.210604	0.427034	0.699226	0.300774	2.315647
492	-2393.553	-2472.645	79.09177	1.430106	0.437466	0.749192	0.250808	1.972809
498	-2390.777	-2470.037	79.26039	1.372359	0.5374248	0.749192	0.250808	1.782333
504	-2401.016	-2480.6	79.58384	1.527119	0.4485112	0.839424	0.160576	1.546657
510	-2395.366	-2475.112	79.74582	1.568173	0.5733354	0.747474	0.252526	1.227761
516	-2398.379	-2477.924	79.54502	1.56749	0.662775	0.725901	0.274099	1.289203
522	-2399.002	-2478.247	79.24497	1.488109	0.4739749	0.630378	0.369622	1.784991
528	-2398.714	-2478.518	79.80382	1.31159	0.4299499	0.590051	0.409949	1.568099
534	-2395.44	-2474.861	79.42061	1.482492	0.4871973	0.766142	0.233858	1.649168
540	-2401.09	-2480.993	79.90265	1.482492	0.4554844	0.766142	0.233858	1.326676
546	-2409.724	-2489.444	79.71946	1.466702	0.4935516	0.619108	0.380892	1.43156
552	-2399.287	-2479.203	79.91684	1.466702	0.3547327	0.814144	0.185856	1.477997
558	-2400.298	-2479.996	79.69804	1.466702	0.4702562	0.715828	0.284172	1.477997
564	-2394.263	-2474.031	79.76712	1.435293	0.5863494	0.745749	0.254251	1.30397
570	-2401.132	-2479.867	78.73473	1.333202	0.5016984	0.698439	0.301561	2.198404
576	-2397.275	-2475.723	78.44774	1.13262	0.3289842	0.698439	0.301561	2.710345
582	-2403.617	-2481.132	77.51521	0.9440875	0.5215324	0.77226	0.22774	3.169504
588	-2398.243	-2475.034	76.79069	0.9084047	0.56718	0.702538	0.297462	3.57411
594	-2398.328	-2475.204	76.87629	0.9084047	0.5125766	0.697234	0.302766	3.57411
600	-2398.382	-2475.38	76.99851	0.9724126	0.4065941	0.687585	0.312415	3.57411
606	-2399.988	-2477.265	77.27706	1.086192	0.3340776	0.687285	0.312715	3.431264
612	-2398.561	-2477.475	78.91457	1.236337	0.2947005	0.692163	0.307837	2.404091
618	-2396.616	-2475.208	78.59242	1.217967	0.3845031	0.703992	0.296008	2.496395
624	-2396.189	-2476.091	79.90174	1.41108	0.3890838	0.758222	0.241778	1.478879
630	-2402.356	-2481.687	79.33058	1.41108	0.4937498	0.713135	0.286865	1.755702
636	-2405.317	-2484.989	79.67169	1.513031	0.2734257	0.707357	0.292643	1.755702
642	-2399.307	-2479.155	79.84814	1.486792	0.314555	0.707357	0.292643	1.57897
648	-2395.087	-2474.496	79.40881	1.252313	0.4079901	0.711744	0.288256	1.915919
654	-2406.482	-2484.665	78.18303	0.9199662	0.349699	0.660593	0.339407	2.972995
660	-2398.968	-2477.7	78.73234	1.168515	0.4089504	0.747992	0.252008	2.409817
666	-2398.959	-2476.596	77.6372	1.296289	0.4988853	0.741513	0.258487	2.907776
672	-2395.32	-2473.249	77.92864	1.194067	0.4988853	0.655201	0.344799	2.793043
678	-2402.1	-2480.336	78.23582	1.207023	0.6656338	0.74019	0.25981	2.441372
684	-2405.509	-2483.041	77.53212	0.8295595	0.2960948	0.781596	0.218404	3.482329
690	-2407.334	-2485.959	78.62441	1.101356	0.3470942	0.794666	0.205334	2.596698
696	-2405.972	-2484.474	78.50276	1.101356	0.4077224	0.616201	0.383799	2.596698
702	-2410.622	-2489.21	78.5882	1.025977	0.4103415	0.74525	0.25475	2.587388
708	-2398.634	-2476.279	77.64451	1.095663	0.4323879	0.861721	0.138279	3.093152
714	-2402.324	-2479.643	77.31932	1.01707	0.5224672	0.772221	0.227779	3.241427
720	-2398.253	-2475.728	77.47523	0.9246167	0.2882685	0.772221	0.227779	3.470871
726	-2405.406	-2482.285	76.87966	1.045977	0.47388	0.649744	0.350256	3.529688
732	-2401.34	-2478.4	77.05933	0.8630147	0.4454459	0.73094	0.26906	3.560625
738	-2394.674	-2472.364	77.68992	1.013966	0.3731621	0.73094	0.26906	3.182373
744	-2404.757	-2482.626	77.86843	1.031119	0.5040418	0.720664	0.279336	2.923129
750	-2405.629	-2483.369	77.73995	1.088164	0.3829641	0.699787	0.300213	3.096823
756	-2405.459	-2483.414	77.95465	1.214212	0.4146687	0.75209	0.24791	2.855208
762	-2410.168	-2488.35	78.18247	0.9698929	0.4235054	0.572599	0.427401	2.855208
768	-2405.173	-2484.116	78.9431	1.132887	0.4910738	0.634683	0.365317	2.204614
774	-2394.283	-2473.501	79.21802	1.132887	0.3423274	0.634683	0.365317	2.208157
780	-2391.607	-2470.273	78.66662	1.156819	0.3218868	0.661144	0.338856	2.570076
786	-2405.227	-2484.446	79.21803	1.199601	0.443902	0.579522	0.420478	2.034528
792	-2388.833	-2467.52	78.68724	1.120114	0.3441051	0.771479	0.228521	2.550004
798	-2392.702	-2471.339	78.63691	1.120114	0.3682661	0.814011	0.185989	2.550004
804	-2396.121	-2474.69	78.56843	1.101571	0.359144	0.702437	0.297563	2.615578
810	-2398.509	-2476.069	77.56044	0.9904736	0.4909787	0.826946	0.173054	3.144832
816	-2392.583	-2470.024	77.44132	0.9717798	0.4909787	0.734891	0.265109	3.226569
822	-2398.466	-2475.65	77.18466	0.8385483	0.3640472	0.692589	0.307411	3.592619
828	-2396.773	-2474.473	77.70038	0.7611366	0.3652689	0.625993	0.374007	3.33501
834	-2398.796	-2477.157	78.36095	1.137579	0.5353482	0.707089	0.292911	2.525289
840	-2398.603	-2476.458	77.85507	1.137579	0.6310979	0.70895	0.29105	2.749687
846	-2410.387	-2489.262	78.87493	1.330087	0.415336	0.771102	0.228898	2.207969
852	-2404.696	-2484.501	79.80517	1.323845	0.4310981	0.699515	0.300485	1.556546
858	-2408.638	-2488.052	79.41415	1.410533	0.3051699	0.672441	0.327559	1.950451
864	-2395.983	-2474.742	78.75871	1.410533	0.5115454	0.676872	0.323128	2.121993
870	-2397.364	-2476.674	79.31009	1.203225	0.4049672	0.706767	0.293233	2.018876
876	-2402.515	-2481.57	79.05455	1.228137	0.4110369	0.731482	0.268518	2.162866
882	-2402.887	-2481.13	78.24312	1.077348	0.3910221	0.760023	0.239977	2.790651
888	-2392.444	-2471.043	78.59944	1.025984	0.3910221	0.738009	0.261991	2.603458
894	-2397.6	-2476.678	79.07797	1.222514	0.4569877	0.831874	0.168126	2.096468
900	-2400.289	-2478.589	78.30052	1.17453	0.3506668	0.845763	0.154237	2.746287
906	-2404.451	-2482.695	78.24439	1.106023	0.4132869	0.739776	0.260224	2.746287
912	-2390.999	-2469.866	78.8673	1.214209	0.5142607	0.710327	0.289673	2.17629
918	-2390.736	-2469.547	78.81082	1.110919	0.3708689	0.710327	0.289673	2.443713
924	-2398.837	-2478.289	79.45214	1.428259	0.3628352	0.6794	0.3206	1.827229
930	-2407.636	-2486.882	79.24683	1.428259	0.6076995	0.570865	0.429135	1.678217
936	-2402.066	-2481.615	79.54895	1.282119	0.4444742	0.64341	0.35659	1.752758
942	-2403.997	-2483.514	79.51668	1.262722	0.4481549	0.737663	0.262337	1.784186
948	-2399.397	-2478.822	79.42517	1.39674	0.5297844	0.673157	0.326843	1.657467
954	-2401.709	-2481.514	79.80448	1.471577	0.3873651	0.73655	0.26345	1.509054
960	-2413.446	-2491.92	78.47483	1.411631	0.8245795	0.66331	0.33669	2.027693
966	-2410.421	-2489.4	78.97876	1.433053	0.7285562	0.692287	0.307713	1.749073
972	-2401.38	-2480.746	79.36677	1.519598	0.4914273	0.700362	0.299638	1.656078
978	-2395.573	-2474.567	78.99429	1.442523	0.5096227	0.684448	0.315552	1.94665
984	-2395.738	-2475.575	79.8375	1.442523	0.407978	0.628815	0.371185	1.476079
990	-2393.928	-2473.493	79.56565	1.441348	0.4696503	0.724998	0.275002	1.595704
996	-2391.706	-2470.759	79.0534	1.326724	0.4696503	0.684364	0.315636	2.029335
1002	-2390.24	-2469.687	79.44734	1.49879	0.4676201	0.684364	0.315636	1.642276
1008	-2388.327	-2467.393	79.06624	1.297552	0.4812905	0.698565	0.301435	2.02695
1014	-2389.02	-2467.539	78.51996	1.114697	0.5993964	0.775657	0.224343	2.378891
1020	-2394.013	-2472.928	78.91482	1.248887	0.536235	0.779546	0.220454	2.099728
1026	-2394.778	-2473.658	78.87944	1.247661	0.4419587	0.779546	0.220454	2.226661
1032	-2395.012	-2474.071	79.05899	1.24859	0.3492328	0.663841	0.336159	2.226661
1038	-2396.855	-2476.053	79.19748	1.24859	0.2649836	0.663841	0.336159	2.262327
1044	-2398.57	-2477.442	78.87257	1.432272	0.7110704	0.706308	0.293692	1.838692
1050	-2400.069	-2479.519	79.45047	1.614406	0.5986885	0.73378	0.26622	1.398778
1056	-2399.49	-2479.631	80.1404	1.629799	0.3165691	0.708471	0.291529	1.237043
1062	-2395.709	-2475.877	80.16842	1.537335	0.3563109	0.584982	0.415018	1.218855
1068	-2395.439	-2475.523	80.08429	1.411636	0.3268245	0.595286	0.404714	1.438033
1074	-2396.671	-2476.538	79.86678	1.5435	0.2511548	0.636388	0.363612	1.63582
1080	-2391.005	-2470.697	79.69202	1.504837	0.4658526	0.743267	0.256733	1.459424
1086	-2398.364	-2477.62	79.25512	1.515376	0.6197135	0.628792	0.371208	1.59717
1092	-2405.084	-2484.497	79.41281	1.60921	0.4560192	0.650649	0.349351	1.602072
1098	-2406.853	-2486.343	79.48985	1.415504	0.4564568	0.632516	0.367484	1.685366
1104	-2404.184	-2483.727	79.54311	1.455237	0.4031624	0.814567	0.185433	1.688838
1110	-2401.083	-2480.199	79.11689	1.22787	0.4031624	0.613634	0.386366	2.132184
1116	-2402.489	-2482.025	79.53607	1.348485	0.3302722	0.651935	0.348065	1.871726
1122	-2402.179	-2481.939	79.76043	1.3232	0.3576483	0.667278	0.332722	1.692753
1128	-2396.764	-2476.429	79.66449	1.201886	0.3913022	0.649908	0.350092	1.79748
1134	-2406.982	-2484.924	77.94198	1.246378	0.3777688	0.677405	0.322595	2.886755
1140	-2400.195	-2477.605	77.41067	0.8481994	0.3349452	0.640203	0.359797	3.491167
1146	-2393.206	-2471.617	78.41124	1.103481	0.3349452	0.672139	0.327861	2.742571
1152	-2402.176	-2480.274	78.09781	1.120756	0.4909873	0.658936	0.341064	2.742571
1158	-2401.029	-2478.899	77.87009	1.030012	0.3108673	0.74085	0.25915	3.145106
1164	-2403.464	-2482.942	79.47849	1.601833	0.7020233	0.636649	0.363351	1.27293
1170	-2401.39	-2480.911	79.52108	1.51261	0.6327145	0.682886	0.317114	1.385215
